List,Set,Size
0.00011599999999978293,4.0000000000040004e-05,3.0
0.0003260000000000485,4.4000000000155026e-05,13.0
0.0005330000000001167,4.200000000009752e-05,23.0
0.0007420000000000204,4.3999999999932975e-05,33.0
0.0009529999999999816,4.3000000000015255e-05,43.0
0.0011620000000001074,4.3000000000015255e-05,53.0
0.0013530000000001596,4.4000000000155026e-05,63.0
0.0015480000000001046,4.3999999999932975e-05,73.0
0.0017709999999999673,4.500000000007276e-05,83.0
0.001951000000000036,4.799999999982596e-05,93.0
0.0021480000000000388,4.8000000000048e-05,103.0
0.002370999999999901,4.900000000018778e-05,113.0
0.0025450000000000195,4.899999999996574e-05,123.0
0.0027360000000000717,4.899999999996574e-05,133.0
0.002916000000000141,5.0000000000105516e-05,143.0
0.0031179999999999537,5.100000000002325e-05,153.0
0.003309000000000007,5.199999999994098e-05,163.0
0.003487000000000018,5.199999999994098e-05,173.0
0.003680999999999823,5.299999999985872e-05,183.0
0.00386299999999995,5.300000000008076e-05,193.0
0.004025999999999863,5.39999999999985e-05,203.0
0.004202999999999957,5.39999999999985e-05,213.0
0.004362000000000199,5.39999999999985e-05,223.0
0.004526999999999948,5.4999999999916234e-05,233.0
0.004694999999999894,5.500000000013827e-05,243.0
0.004895000000000094,6.799999999995698e-05,253.0
0.0050240000000001395,6.799999999995698e-05,263.0
0.0051920000000000854,6.899999999987472e-05,273.0
0.005349999999999966,6.900000000009676e-05,283.0
0.005489000000000077,7.000000000001451e-05,293.0
0.005685000000000162,7.000000000001451e-05,303.0
0.0058270000000000275,7.000000000001451e-05,313.0
0.0059719999999998654,7.100000000015427e-05,323.0
0.006135000000000002,7.200000000007199e-05,333.0
0.006346000000000185,7.000000000001451e-05,343.0
0.006444999999999812,7.099999999993223e-05,353.0
0.0066349999999999465,7.099999999993223e-05,363.0
0.006704000000000043,7.299999999998974e-05,373.0
0.006876000000000104,7.500000000004725e-05,383.0
0.007163999999999948,7.500000000004725e-05,393.0
