Dim,Sparsity,convertMmcc,mmccConvert
100.0,0.1,0.01000000000021828,0.009999999999763531
100.0,0.2,0.050000000001091394,0.01000000000021828
100.0,0.3,0.02000000000043656,0.009999999999763531
100.0,0.4,0.03000000000020009,0.8699999999998909
100.0,0.5,0.030000000000654836,0.01000000000021828
100.0,0.6,0.01000000000021828,0.009999999999763531
100.0,0.6998,0.01000000000021828,0.0
100.0,0.8,0.02000000000043656,0.009999999999763531
100.0,0.9,0.21000000000094587,0.2699999999999818
200.0,0.1,0.07000000000016371,0.03999999999996362
200.0,0.2,1.110000000000582,0.03999999999996362
200.0,0.3,0.07999999999992724,0.09999999999990904
200.0,0.4,0.07999999999992724,0.0500000000001819
200.0,0.5,0.06999999999970896,0.04999999999972715
200.0,0.6,0.09000000000014552,0.05999999999994542
200.0,0.69995,0.8699999999989814,0.03000000000020009
200.0,0.8,0.2899999999999636,0.05999999999994542
200.0,0.9,0.07999999999992724,0.0500000000001819
300.0,0.1,0.4600000000009459,0.15000000000009095
300.0,0.2,0.3000000000029104,0.11000000000012733
300.0,0.3,0.5100000000002183,1.9600000000000364
300.0,0.4,0.32999999999992724,0.07000000000016371
300.0,0.5,0.27999999999883585,0.09000000000014552
300.0,0.6,0.22000000000025466,0.09999999999990904
300.0,0.6999777777777778,0.2399999999997817,0.1200000000003456
300.0,0.8,0.3599999999987631,0.2400000000002365
300.0,0.9,2.0300000000024743,0.07000000000016371
400.0,0.1,0.4600000000000364,0.2100000000000364
400.0,0.2,1.3799999999996544,0.7000000000002728
400.0,0.3,0.4800000000013824,0.3400000000001455
400.0,0.4,0.7600000000002183,2.1099999999996726
400.0,0.5,0.5099999999997635,0.3500000000003638
400.0,0.6,2.3700000000003456,0.7199999999997999
400.0,0.6999875,0.5300000000006548,0.6400000000003274
400.0,0.8,0.43000000000029104,0.25999999999976353
400.0,0.9,0.6599999999998545,0.17000000000007276
500.0,0.1,0.4299999999993816,0.2100000000000364
500.0,0.2,1.3100000000013097,0.3699999999998909
500.0,0.3,0.5999999999985448,1.0900000000001455
500.0,0.4,1.1000000000003638,0.3800000000001091
500.0,0.5,0.7599999999993088,0.3900000000003274
500.0,0.6,0.48000000000047294,0.2399999999997817
500.0,0.6999920000000001,0.5,0.19000000000050926
500.0,0.8,0.8899999999994179,0.3500000000003638
500.0,0.9,1.4300000000002908,2.5
600.0,0.1,0.680000000000291,3.149999999999636
600.0,0.2,1.0699999999997092,2.3800000000001087
600.0,0.3,1.7999999999992724,0.6199999999998909
600.0,0.4,3.4099999999998545,2.7199999999998
600.0,0.5,1.0100000000002185,2.8899999999998727
600.0,0.6,0.6400000000003274,0.29999999999972715
600.0,0.6999944444444445,0.569999999999709,0.2899999999999636
600.0,0.8,3.1299999999992,0.4100000000003092
600.0,0.9,0.9099999999998544,0.6600000000003092
700.0,0.1,1.650000000000091,1.050000000000182
700.0,0.2,5.25,1.3699999999998909
700.0,0.3,3.7600000000002174,0.5499999999997272
700.0,0.4,1.9399999999986903,0.5799999999999272
700.0,0.5,1.8399999999996908,0.9800000000000182
700.0,0.6,1.7400000000002365,0.7599999999997635
700.0,0.699995918367347,1.3699999999998909,0.6700000000000728
700.0,0.8,1.7900000000008731,0.4800000000000182
700.0,0.9,1.9899999999997813,0.5900000000001455
800.0,0.1,3.1399999999994184,0.5999999999999089
800.0,0.2,1.2200000000011642,0.6399999999998727
800.0,0.3,5.829999999999927,0.8199999999997092
800.0,0.4,3.430000000000291,0.7799999999997453
800.0,0.5,2.029999999998836,0.7200000000002547
800.0,0.6,3.4400000000000546,0.7699999999999818
800.0,0.699996875,5.579999999999927,1.2400000000002365
800.0,0.8,2.340000000000145,1.1599999999998545
800.0,0.9,3.520000000000437,1.6799999999998363
900.0,0.1,5.330000000000382,2.7399999999997817
900.0,0.2,4.260000000000218,2.569999999999709
900.0,0.3,5.1700000000000745,1.2599999999997635
900.0,0.4,3.1900000000005093,2.5
900.0,0.5,3.710000000000037,3.2100000000000364
900.0,0.6,6.920000000000073,3.0199999999999823
900.0,0.6999975308641976,3.4500000000007276,3.2199999999998
900.0,0.8,4.409999999999855,2.9699999999998
900.0,0.9,2.9299999999998363,1.1200000000003456
1000.0,0.1,3.909999999999856,2.8400000000001446
1000.0,0.2,4.68999999999869,1.5199999999995268
1000.0,0.3,3.1599999999998545,1.6300000000001091
1000.0,0.4,6.940000000000509,3.680000000000291
1000.0,0.5,4.360000000000582,1.7800000000006548
1000.0,0.6,5.449999999999819,2.6199999999998917
1000.0,0.699998,2.8700000000008004,1.5399999999999636
1000.0,0.8,3.7999999999992724,2.8900000000003274
1000.0,0.9,2.930000000000291,1.269999999999527
1100.0,0.1,6.130000000000107,2.220000000000028
1100.0,0.2,4.930000000000291,1.7200000000000273
1100.0,0.3,6.049999999999272,4.609999999999902
1100.0,0.4,6.260000000000218,1.7000000000000457
