FancyIndexing,Size,ix,take
0.0005570000000005848,2.0,0.0005109999999994841,0.00018699999999993722
0.010894000000003956,502.0,0.0013379999999998393,0.007020999999999944
0.022677999999999088,1002.0,0.0044839999999997104,0.012843999999999856
0.03564799999999835,1502.0,0.010429999999999495,0.020868999999999804
0.04997500000000343,2002.0,0.018017999999990764,0.02840599999999993
0.06740900000000137,2502.0,0.029908999999996414,0.0359029999999998
0.08461899999999645,3002.0,0.04276800000000236,0.044877000000000056
0.1045909999999992,3502.0,0.057822999999999077,0.0576219999999994
0.13180499999999995,4002.0,0.07616299999999754,0.06620399999999993
0.15710900000000105,4502.0,0.09590100000000136,0.07799000000000067
0.1836190000000002,5002.0,0.11695499999999905,0.09009399999999967
