Dim,Sparsity,denseMatrixDotMatrix,denseMatrixDotVector,denseMatrixDotVectorFlattened,inversionTimeDense,inversionTimeDenseToSparse,inversionTimeSparse,inversionTimeSparseCSC,inversionTimeSparseToDense,inversionTimeToDenseSplit,sparseMatrixDotMatrix,sparseMatrixDotVectorWithScipySparse,sparseSubsetFI,sparseSubsetIX
100.0,0.1,0.00022600000374950469,2.899998798966408e-05,2.7999980375170708e-05,0.0012129999813623724,0.003647999998065643,0.18393199999999954,0.1832370000000001,0.1816450000042096,0.1814329999906477,0.009339000011095777,0.00011399999493733047,0.005363000003853814,0.010915999999999926
100.0,0.2,0.00022699998226016757,3.7999998312443495e-05,2.399999999980196e-05,0.0012470000074245036,0.0036819999804720283,0.1811630000011064,0.1804950000077952,0.18130299999029376,0.18114500000956468,0.007742999994661659,0.00011100000000041631,0.0054109999909997,0.0036529999999999055
100.0,0.3,0.00022799998987466094,3.699999069795013e-05,3.399999695830047e-05,0.0012350000033620745,0.00368099998740945,0.18129399997997092,0.18069700000341984,0.1813339999935124,0.18147500000486616,0.006260000009206125,0.0001010000123642385,0.005363000018405728,0.0036380000000000297
100.0,0.4,0.00023999999999979599,3.799999999998249e-05,2.399999999980196e-05,0.0012420000000012974,0.0036750000000012046,0.18295899999999946,0.18281800000000006,0.18429499999999965,0.18432199999999987,0.0051009999999998,0.0001079999999991088,0.005478999999999346,0.003634999999999167
100.0,0.5,0.0002370000000002648,3.300000389572233e-05,2.8000009479001164e-05,0.0012149999965913596,0.003705999988596887,0.18143999998574145,0.18080400000326333,0.18124800000805408,0.18389299999999945,0.004115999996429309,9.499999999995624e-05,0.0053290000068955115,0.003673999999999289
100.0,0.6,0.0002469999890308826,3.300001844763756e-05,2.7000001864507794e-05,0.0013169999874662608,0.003749000010429881,0.1816980000003241,0.18123600000399165,0.181205000000773,0.176484999989043,0.0008149999921442942,7.199999999984996e-05,0.005278000026009978,0.0008619999999999184
100.0,0.6998,0.00023399999190587548,3.5999983083456755e-05,3.500000457279384e-05,0.0012149999965913596,0.003649000020232053,0.1833889999834355,0.18268300002091564,0.183273000002373,0.18343199999071652,0.0025989999994635573,8.800000068731606e-05,0.005248000001301989,0.003512999999999877
100.0,0.8,0.00023100001271814102,3.700001980178058e-05,3.500000457279384e-05,0.0012590000114869324,0.003649999998742715,0.1846910000022035,0.1840120000124444,0.1847280000220053,0.18475399998715147,0.0020840000070165843,8.300000000005525e-05,0.005256000004010275,0.0034929999999997463
100.0,0.9,0.00023299999884329736,3.300001844763756e-05,2.8000009479001164e-05,0.0012510000087786466,0.0036919999984093006,0.18628000000899192,0.1861969999881694,0.18868600000000013,0.1857140000065556,0.0013740000140387565,8.099999999977571e-05,0.005237999997916631,0.003369000000000177
200.0,0.1,0.005633999999993478,0.0002729999978328124,0.00028900000000220416,0.014834999994491229,0.060335000001941815,1.1588699999847452,0.9225000000005821,0.8450159999920288,0.8385419999976875,0.038533999999998514,0.00014399999999881177,0.0037520000000057507,0.0036360000000001946
200.0,0.2,0.0024180000182241197,0.0001320000000006871,0.00014200000441633165,0.007039999999999934,0.028611999994609505,1.157231999997748,0.6361210000177379,0.3954619999858551,0.39543000000412576,0.051258000000000685,0.00022700000000241968,0.006239000000000772,0.006151999999996605
200.0,0.3,0.0023860000073909764,0.00012599999899975958,0.00013500000932253897,0.006847000000000493,0.02863499999511987,1.1593830000201706,0.6352289999776985,0.3957829999853857,0.3965019999886863,0.04047500000000071,0.0002059999969787896,0.0061309999999998865,0.006119999999999236
200.0,0.4,0.004478999995626509,0.00030300000798888505,0.00030799998785369104,0.015433999986271376,0.06830299997818656,1.1610960000000006,0.636028000008082,0.8254739999974845,0.8378599999996368,0.018771999995806254,0.00011300000187475234,0.003552000009221956,0.006119000000001762
200.0,0.5,0.0019680000000015237,0.00013300000864546746,0.00011799999999695389,0.00696800000150688,0.028432999999495227,1.6306269999913638,0.6187340000178665,0.4014560000000032,0.4007640000000024,0.02305799999157898,0.00017699999443721026,0.005834000010509044,0.006130000000002411
200.0,0.6,0.002486999990651384,0.00012799999967683107,0.00012799998512491584,0.006949999980861321,0.028825000015785918,0.3969050000014249,0.3958120000024792,0.3978669999924023,0.3994939999975031,0.016607000000000482,0.00015600000000048908,0.005699000001186505,0.005698000000000647
200.0,0.69995,0.0023890000011306256,0.00012599999899975958,0.00011399999493733047,0.0068259999970905465,0.028183999995235364,1.1696639999863692,0.6325179999985266,0.3969050000014249,0.3940809999999999,0.011363999976310879,3.599999999792658e-05,0.005598000003374182,0.0013919999999991715
200.0,0.8,0.002429999993182719,0.00013099999341648072,0.00013299999409355226,0.0069950000033713895,0.028667000005953014,1.1903540000203066,0.6232130000134929,0.4040730000124313,0.4026630000153091,0.007524000015109778,0.0001230000052601099,0.005543000006582588,0.005333999999999507
200.0,0.9,0.0024319999999988795,0.00012499999999704414,0.00012199999999751299,0.007215999999999667,0.028953999999998814,1.3351129999999998,0.25151000000000323,0.14453800000000427,0.10525100000000263,0.0010219999999989682,2.599999999830516e-05,0.0012660000000010994,0.001193999999998141
300.0,0.1,0.008367000000006897,0.00023000000000195087,0.00016000000000815362,0.01803300000000263,0.06336399999999287,2.1185759999999902,0.6966050000000052,0.7026850000000024,0.6950150000000122,0.20776100000000491,0.0004459999999966157,0.0074720000000070294,0.009905000000003385
300.0,0.2,0.008866999996826053,0.0002169999999992456,0.00015399999392684552,0.018038999999994587,0.06285600000000358,1.6528499999985795,0.6758649999974295,0.6961560000000021,0.6919919999999989,0.16603900000000493,0.0004210000000028913,0.007277999999999452,0.01006299999999527
300.0,0.3,0.0090970000019297,0.00022499999998615294,0.00016800000000216644,0.01812699999999268,0.06528899999999282,1.6533959999796934,0.6869520000000051,0.6924099999999953,0.6829440000000062,0.13249600000000328,0.0003729999880306423,0.011762000000004493,0.012499000000005369
